ax,ay,az,gx,gy,gz
334,-1359,1477,-19,-13,-10
341,-1390,1490,-38,-6,-2
348,-1393,1519,-44,11,9
348,-1412,1521,-67,17,17
344,-1375,1508,-97,5,10
350,-1342,1491,-132,-11,7
332,-1355,1456,-135,-21,8
333,-1385,1462,-130,8,14
322,-1427,1454,-98,26,16
348,-1416,1494,-79,40,15
370,-1411,1521,-95,38,21
375,-1424,1508,-117,23,19
352,-1422,1460,-76,3,-7
340,-1367,1471,-47,11,-21
324,-1363,1454,-21,9,-27
321,-1371,1465,-13,7,-26
324,-1397,1488,-24,-7,-17
338,-1381,1500,-70,-22,-13
339,-1402,1462,-94,-18,1
324,-1431,1443,-18,1,8
328,-1393,1481,-4,4,11
341,-1378,1479,-20,-6,18
338,-1441,1452,-15,5,24
341,-1422,1476,14,8,16
347,-1395,1482,18,10,15
334,-1396,1476,25,3,18
336,-1386,1483,16,-26,13
350,-1392,1464,8,-30,9
354,-1401,1456,23,-16,7
351,-1407,1474,18,-2,7
